damID	flooded_list
601624	[601614, 601615, 601616, 601618, 601619, 601620, 601621, 601622, 601623]
601625	[301085, 401417, 601614, 601615, 601616, 601618, 601619, 601620, 601621, 601622, 601623, 601624]
601626	[301084, 301085, 601614, 601615, 601616, 601618, 601619, 601620, 601621, 601622, 601623, 601624, 601625]
601627	[301084, 301085, 601616, 601618, 601619, 601620, 601621, 601622, 601623, 601624, 601625, 601626]
601628	[301085, 601624, 601625, 601626, 601627]
601629	[301085, 601625, 601626, 601627, 601628]
601630	[601629]
601631	[301084, 301085, 401417, 601614, 601615, 601616, 601618, 601619, 601620, 601621, 601622, 601623, 601624, 601625, 601626, 601627, 601628, 601629, 601630]
601632	[301084, 301085, 401417, 601614, 601615, 601616, 601618, 601619, 601620, 601621, 601622, 601623, 601624, 601625, 601626, 601627, 601628, 601629, 601630, 601631]
601636	[601629, 601630, 601631, 601632]
601638	[301085, 601618, 601619, 601620, 601621, 601622, 601623, 601624, 601625, 601626, 601627, 601628, 601629, 601630, 601631, 601632, 601636]
601639	[601636, 601638]
601641	[601636, 601638, 601639]
601643	[601636, 601638, 601639, 601641]
601644	[301200, 601641, 601643]
601645	[601643, 601644]
601646	[301200, 601631, 601632, 601636, 601638, 601639, 601641, 601643, 601644, 601645]
601647	[301200, 601638, 601639, 601641, 601643, 601644, 601645, 601646]
601648	[301200, 601638, 601639, 601641, 601643, 601644, 601645, 601646, 601647]
601649	[301200, 601638, 601639, 601641, 601643, 601644, 601645, 601646, 601647, 601648]
601650	[301200, 601638, 601639, 601641, 601643, 601644, 601645, 601646, 601647, 601648, 601649]
601651	[301200, 601638, 601639, 601641, 601643, 601644, 601645, 601646, 601647, 601648, 601649, 601650]
601652	[301200, 601638, 601639, 601641, 601643, 601644, 601645, 601646, 601647, 601648, 601649, 601650, 601651]
601653	[301200, 601641, 601643, 601644, 601645, 601646, 601647, 601648, 601649, 601650, 601651, 601652]
601654	[601643, 601644, 601645, 601646, 601647, 601648, 601649, 601650, 601651, 601652, 601653]
601655	[601643, 601644, 601645, 601646, 601647, 601648, 601649, 601650, 601651, 601652, 601653, 601654]
601656	[601643, 601644, 601645, 601646, 601647, 601648, 601649, 601650, 601651, 601652, 601653, 601654, 601655]
601657	[301218, 601645, 601646, 601647, 601648, 601649, 601650, 601651, 601652, 601653, 601654, 601655, 601656]
601658	[301218, 601645, 601646, 601647, 601648, 601649, 601650, 601651, 601652, 601653, 601654, 601655, 601656, 601657]
601659	[301218, 601645, 601646, 601647, 601648, 601649, 601650, 601651, 601652, 601653, 601654, 601655, 601656, 601657, 601658]
601660	[301218, 601648, 601649, 601650, 601651, 601652, 601653, 601654, 601655, 601656, 601657, 601658, 601659]
601661	[301218, 601649, 601650, 601651, 601652, 601653, 601654, 601655, 601656, 601657, 601658, 601659, 601660]
601662	[601654, 601655, 601656, 601657, 601658, 601659, 601660, 601661]
601663	[301218, 601654, 601655, 601656, 601657, 601658, 601659, 601660, 601661, 601662]
601664	[601654, 601655, 601656, 601657, 601658, 601659, 601660, 601661, 601662, 601663]
601665	[601654, 601655, 601656, 601657, 601658, 601659, 601660, 601661, 601662, 601663, 601664]
601666	[601659, 601660, 601661, 601662, 601663, 601664, 601665]
601667	[601660, 601661, 601662, 601663, 601664, 601665, 601666]
601668	[601660, 601661, 601662, 601663, 601664, 601665, 601666, 601667]
601669	[601659, 601660, 601661, 601662, 601663, 601664, 601665, 601666, 601667, 601668]
601670	[601660, 601661, 601662, 601663, 601664, 601665, 601666, 601667, 601668, 601669]
601671	[601660, 601661, 601662, 601663, 601664, 601665, 601666, 601667, 601668, 601669, 601670]
601672	[601668, 601669, 601670, 601671]
601673	[601671, 601672]
601674	[601673]
601675	[601672, 601673, 601674]
601676	[601672, 601673, 601674, 601675]
601677	[601673, 601674, 601675, 601676]
