damID	depth	storage	outflow_rect
200063	2.3	1559.7	0.5
200063	2.4	1730.6	0.51
200063	2.5	1901.5	0.53
200063	2.6	2072.4	0.54
200063	2.7	2243.3	0.55
200063	2.8	2414.2	0.56
200063	2.9	2585.1	0.57
200063	3.0	2756.0	0.58
200063	3.1	2969.33	0.59
200063	3.2	3182.65	0.6
200063	3.3	3395.98	0.61
200063	3.4	3609.31	0.62
200063	3.5	3822.64	0.63
200063	3.6	4035.96	0.64
200063	3.7	4249.29	0.65
200063	3.8	4462.62	0.66
200063	3.879671801	4889.27	0.67
200064	0.0	0.0	0.0
200064	0.1	5.6	0.0
200064	0.2	11.2	0.02
200064	0.3	16.8	0.06
200064	0.4	22.4	0.15
200064	0.5	27.99	0.19
200064	0.6	33.59	0.22
200064	0.7	39.19	0.25
200064	0.8	44.79	0.27
200064	0.9	50.39	0.29
200064	1.0	55.99	0.31
200064	1.1	88.49	0.33
200064	1.2	120.99	0.35
200064	1.3	153.49	0.36
200064	1.4	185.99	0.38
200064	1.5	218.49	0.4
200064	1.6	251.0	0.41
200064	1.7	283.5	0.43
200064	1.8	316.0	0.44
200064	1.9	348.5	0.45
200064	2.0	381.0	0.47
200064	2.1	474.2	0.48
200064	2.2	567.4	0.49
200064	2.3	660.6	0.5
200064	2.4	753.8	0.51
200064	2.5	847.0	0.53
200064	2.6	940.2	0.54
200064	2.7	1033.4	0.55
200064	2.8	1126.6	0.56
200064	2.9	1219.8	0.57
200064	3.0	1313.0	0.58
200064	3.1	1521.5	0.59
200064	3.2	1730.0	0.6
200064	3.3	1938.5	0.61
200064	3.4	2147.0	0.62
200064	3.5	2355.5	0.63
200064	3.6	2564.0	0.64
200064	3.7	2772.5	0.65
200064	3.8	2981.0	0.66
200064	3.9	3189.5	0.67
200064	4.0	3398.0	0.68
200064	4.1	3776.2	0.69
200064	4.2	4154.4	0.69
200064	4.3	4532.6	0.7
200064	4.4	4910.8	0.71
200064	4.5	5289.0	0.72
200064	4.6	5667.2	0.73
200064	4.7	6045.4	0.74
200064	4.8	6423.6	0.74
200064	4.9	6801.8	0.75
200064	5.0	7180.0	0.76
200064	5.093936734	7618.79	0.77
200065	0.0	0.0	0.0
200065	0.1	31.69	0.0
200065	0.2	63.37	0.02
